ip,patrimonio,loga,posicao,observacao
10.140.1.35,084.019125,sim,0-1,pc do monitor
10.140.1.67,084.019112,sim,0-2,pc do monitor
10.140.1.66,008.034924,sim,1-1
10.140.1.46,084.019102,sim,1-2,
,084.019132,,1-3,nao liga
,008.035793,,1-4,nao liga
,084.019284,,1-5,travado
10.140.1.70,084.019111,sim,1-6,
,084.019108,,1-7,nao liga
10.140.1.57,008.035771,sim,1-8,
10.140.1.48,084.019127,sim,2-1,
10.140.1.49,008.038325,sim,2-2,
,084.019101,,2-3,nao liga
10.140.1.51,084.019107,sim,2-4,
10.140.1.44,084.019115,sim,2-5,
,084.019293,,2-6,monitor com problema 
10.140.1.42,084.019106,sim,2-7,
,084.019116,,2-8,nao liga
10.140.1.52,084.019122,sim,3-1
10.140.1.53,008.035780,sim,3-2
,084.019118,,3-3,nao liga
,084.019308,,3-4,nao liga
,084.019133,,3-5,nao liga
,,,3-6,sem CPU e placa com alerta de "erro"
,,,3-7,sem CPU
,084.019113,,3-8,nao liga
,084.019292,nao,4-1,nao loga nem como root
10.140.1.30,084.019311,sim,4-2
,084.019271,nao,4-3,nao loga nem como root
,084.019285,nao,4-4,nao loga nem como root
,084.019306,nao,5-1,nao loga nem como root
,084.019290,nao,5-2,nao loga nem como root
,084.019310,nao,5-3,nao loga nem como root
,084.019273,nao,5-4,nao loga nem como root
10.140.1.62,084.019120,sim,6-1
,,,6-2,sem CPU
10.140.1.64,084.019279,sim,6-3
,084.19119,,6-4,liga, mas trava
10.140.1.58,084.019304,sim,6-5
10.140.1.59,084.019278,sim,6-6
,008.034918,nao,6-7,nao liga
10.140.1.61,008.038373,sim,6-8